pool_slot,changeout_week,equipo,component_serial,changeout_date,arrival_week,pool_changeout_type,component_code
12,2023-W42,860,#149,2023-10-16,2024-W6,I,cms
12,2024-W3,879,#EE13101312A,2024-01-15,2024-W10,P,bp
12,2024-W7,882,#152,2024-02-12,2024-W18,I,cms
12,2024-W11,848,#156,2024-03-11,2024-W20,P,st
12,2024-W13,878,#WX1606Y004T,2024-03-25,2024-W32,I,mt
12,2024-W16,881,#EE04070186,2024-04-15,2024-W23,P,bp
12,2024-W18,867,#B501CH3001-001,2024-04-29,2024-W32,I,cd
12,2024-W19,875,#227,2024-05-06,2024-W37,I,cms
12,2024-W20,873,#186,2024-05-13,2024-W31,P,cl
13,2023-W37,868,#EE18060073,2023-09-11,2023-W44,P,bp
13,2023-W38,871,#EMWK311,2023-09-18,2023-W45,P,cd
13,2024-W5,289,#EE14091188,2024-01-29,2024-W17,I,bp
13,2024-W18,851,#EE10040299,2024-04-29,2024-W25,P,bp
13,2024-W20,856,#EMVJ300,2024-05-13,2024-W34,I,cd
13,2024-W20,873,#186,2024-05-13,2024-W31,P,cl
14,2023-W44,861,#EMXM437,2023-10-30,2024-W6,I,cd
14,2024-W21,857,#EMWK308-1,2024-05-20,2024-W35,I,cd
15,2023-W46,848,#SW-CD73,2023-11-13,2024-W8,I,cd
15,2024-W22,867,#463,2024-05-27,2024-W36,I,cd
16,2023-W51,874,#63LB30,2023-12-18,2024-W13,I,cd
16,2024-W24,850,#EMXH385,2024-06-10,2024-W31,P,cd
